Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
AKS Developer Hub,microsoft.devhub,developerhub,,NotStarted,,,,specification/developerhub/resource-manager/Microsoft.DevHub/DeveloperHub/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 120). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
AAD Domain Services,microsoft.aad,domainservices,,NotStarted,,,,specification/domainservices/resource-manager/Microsoft.AAD/DomainServices/tspconfig.yaml,,sdk/resourcemanager/domainservices/armdomainservices,,,,,,"From Dry Run Release sheet (row 121). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure for Education,microsoft.education,education,,NotStarted,,,,specification/education/resource-manager/Microsoft.Education/Education/tspconfig.yaml,,sdk/resourcemanager/education/armeducation,,,,,,"From Dry Run Release sheet (row 122). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Bare Metal Infrastructure,microsoft.hanaonazure,hanaonazure,,NotStarted,,,,specification/hanaonazure/resource-manager/Microsoft.HanaOnAzure/HanaOnAzure/tspconfig.yaml,,sdk/resourcemanager/hanaonazure/armhanaonazure,,,,,,"From Dry Run Release sheet (row 123). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure VM Image Builder,microsoft.virtualmachineimages,imagebuilder,,NotStarted,,,,specification/imagebuilder/resource-manager/Microsoft.VirtualMachineImages/ImageBuilder/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 124). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Migrate,microsoft.offazure,migrate/resource-manager/Microsoft.OffAzure,,NotStarted,,,NoSpec,,,sdk/resourcemanager/migrate/armmigrate,,,,,,"From Dry Run Release sheet (row 125). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Quartz Governance Services (Power Platform),microsoft.powerplatform,powerplatform,,NotStarted,,,,specification/powerplatform/resource-manager/Microsoft.PowerPlatform/PowerPlatform/tspconfig.yaml,,sdk/resourcemanager/powerplatform/armpowerplatform,,,,,,"From Dry Run Release sheet (row 126). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Red Hat OpenShift,microsoft.redhatopenshift,redhatopenshift,,Done,,,,specification/redhatopenshift/resource-manager/Microsoft.RedHatOpenShift/OpenShiftClusters/tspconfig.yaml,,sdk/resourcemanager/redhatopenshift/armredhatopenshift,,,,,,"From Dry Run Release sheet (row 127). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Managed Application,microsoft.solutions,solutions,,Done,,,NoSpec,,,sdk/resourcemanager/solutions/armmanagedapplications,,,,,,"From Dry Run Release sheet (row 129). DryRun: .Net=Done, Java=NO_SPEC, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Deployments,microsoft.resources,resources/Microsoft.Resources/deployments,,Done,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 130). DryRun: .Net=Done, Java=Premium, Py=NotStarted, JS=NotStarted, Go=NotStarted."
